"","PRISM.7122","PRISM.7147","PRISM.7150","PRISM.7153","PRISM.7184","PRISM.7238","PRISM.7406","PRISM.7408","PRISM.7421","PRISM.7445","PRISM.7486","PRISM.7496","PRISM.7506","PRISM.7547","PRISM.7658","PRISM.7662","PRISM.7744","PRISM.7759","PRISM.7762","PRISM.7776","PRISM.7791","PRISM.7843","PRISM.7847","PRISM.7852","PRISM.7855","PRISM.7858","PRISM.7860","PRISM.7861","PRISM.7862","PRISM.7870","PRISM.7874","PRISM.7875","PRISM.7879","PRISM.7897","PRISM.7899","PRISM.7904","PRISM.7906","PRISM.7908","PRISM.7909","PRISM.7910","PRISM.7911","PRISM.7912","PRISM.7938","PRISM.7941","PRISM.7947","PRISM.7948","PRISM.7955","PRISM.7971","PRISM.7989","PRISM.8095","PRISM.8096","PRISM.8101","PRISM.8106","PRISM.8129","PRISM.8226","PRISM.8244","PRISM.8264","PRISM.8275","PRISM.8283","PRISM.8332","PRISM.8336","PRISM.8361","PRISM.8374","PRISM.8377","PRISM.8406","PRISM.8441","PRISM.8444","PRISM.8447","PRISM.8452","PRISM.8458","PRISM.8462","PRISM.8464","PRISM.8466","PRISM.8467","PRISM.8475","PRISM.8480","PRISM.8483","PRISM.8485","PRISM.8496","PRISM.8502","PRISM.8503","PRISM.8511","PRISM.8513","PRISM.8515","PRISM.8523","PRISM.8534","PRISM.8537","PRISM.8550","PRISM.8564","PRISM.8565","PRISM.8573","PRISM.8577","PRISM.8589","PRISM.8591","PRISM.8592","PRISM.8605","PRISM.8624","PRISM.8628","PRISM.8629","PRISM.8667","PRISM.8675","PRISM.8683","PRISM.8692","PRISM.8696","PRISM.8728","PRISM.8734","PRISM.8735","PRISM.8746","PRISM.8749","PRISM.8753","PRISM.8754","PRISM.8758","PRISM.8764","PRISM.8765","PRISM.8774","PRISM.8776","PRISM.8778","PRISM.8783","PRISM.8784","PRISM.8785","PRISM.8788","PRISM.8789","PRISM.8794","PRISM.8795","PRISM.8800","PRISM.8802","PRISM.8803","PRISM.8805","PRISM.8806","PRISM.8807","PRISM.8809","PRISM.8815","PRISM.8841","PRISM.8843","PRISM.8844","PRISM.8846","PRISM.8847","PRISM.8849","PRISM.8878","PRISM.8882","PRISM.8892","PRISM.8894","PRISM.8898","PRISM.8924","PRISM.8932","PRISM.8982","PRISM.8998","PRISM.9010","PRISM.9018","PRISM.9030","PRISM.9033","PRISM.9074","PRISM.9079","PRISM.9126","PRISM.9148"
"Methanobrevibacter_smithii",0,1.92e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225457,0,0,0,0,0,0,0,0,0,0,0,0.0097628,0.023053,0.0164966,0,0,0.0272332,0,0.0094226,0,0,0,0,0,0,0,0,0,0,0,0.044824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406303,0.000371,0,0,0,0,0,0,0,0,0,0,0,0,0.04382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154175,0,0,0,0,0.0006445,0,0.0381354,0,0,0,0,0,0,0,0.0446944,0,0,0,0.0386092,0,0,0,0.0002882,0,0,0,0,0.10711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304392,0,0,0,0.0263586,0,0,0,0,0.0049057,0,0,0,0
"Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034884,0,0,0,0,0,0,0,0,0.0046064,0,0,0,0
"Rothia_mucilaginosa",0,9.4e-06,0,0,0,0,0.000521,5.84e-05,0.0001036,0,0,3.57e-05,5.6e-06,3.37e-05,4.82e-05,0,0,0,2.45e-05,3.41e-05,0,0,0,0,0,0,2.4e-05,0,0,0,0,0,0,2.74e-05,0,0,0,0,0,0,0,7.87e-05,0,0,0,0,0,0,0.0004318,0,0,0,0,4.46e-05,0.0028929,0,0.0006654,0,0,6e-07,0.0002541,0,0,0,2.66e-05,0.0002778,0,0,0.0037121,0,9.77e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020701,0,0,0,0.0010742,0,0,3.39e-05,0,0,0,0,0.0006799,0.0001463,0,0.000155,0.0001524,0,0.0001027,2.4e-06,2.95e-05,0.0024911,0.0001424,5e-06,0,5.42e-05,0,2.2e-05,0.0004145,0,1.79e-05,0,8.1e-05,0,0,6.11e-05,0,0.0001055,0,3.54e-05,0,0.0006957,4.98e-05,0.0002027,0,0.0002269,0,0.000195,2.31e-05,0,0.0002005,4.28e-05,3.11e-05,0,0,0,0,0,0,0.0001778,0,0,0,0,0,0,0,0,0.0002288,0
"Propionibacterium_freudenreichii",0,0,0.0017539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6e-05,0,0,0,0,0,0,0,0,0.0001938,0,0,0.0081534,0,0.0015925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005238,0,0,0,0,0,0,0,0,0,0.0002684,0,0,0,0,0,1.36e-05,0,0,0,0,1.47e-05,0,0,0,0,7.27e-05,0,0,0,0,0,0,0.006482,6.54e-05,0,0,0,0,0,0,0,1.79e-05,0,0,0,0.0002972,0,0,0,0.0001537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002866,0,0,0,0,0
"Bifidobacterium_adolescentis",9.19e-05,1.47e-05,0.0403279,5.64e-05,2.59e-05,6.42e-05,1.2e-05,2.53e-05,1.52e-05,0.0001061,0.0484356,0.451831,9e-06,1.49e-05,0.0257115,0.0293462,7.87e-05,0.108019,3.6e-05,0.330492,4.97e-05,0.248453,6.36e-05,0.0039318,6.3e-06,2.33e-05,0.0321102,9.9e-06,1.96e-05,0.0396406,0.0389267,0.0032459,0.0453246,0.241442,1.28e-05,0,4.6e-06,1.04e-05,0.145111,0.0719497,7.27e-05,0.0291684,6.73e-05,6.82e-05,3.11e-05,0.0491455,0.0666278,2.41e-05,3.87e-05,0.327855,9.44e-05,4.11e-05,0,1.67e-05,4.74e-05,2.63e-05,0.0001597,2.91e-05,0.0309835,1.49e-05,2.99e-05,6.77e-05,2.75e-05,6.82e-05,1.44e-05,0.0496452,9.6e-06,0.0401596,0.0016355,9.6e-06,2.96e-05,1.32e-05,5.93e-05,0.0072943,5.55e-05,0.0004098,0.0046246,4.08e-05,5.72e-05,0.0004373,0,1.3e-05,2.79e-05,0.139585,0.0004911,1.91e-05,0,4.58e-05,8.73e-05,0.0001062,0.0358508,0,0.0002857,4.45e-05,0.17984,0.0496378,5.72e-05,7.5e-06,1.06e-05,1.32e-05,0.567643,2.15e-05,0,3.8e-05,0.0390422,0.0224779,0.0347808,6.85e-05,1.06e-05,0.0109862,0.0237242,0,3.7e-05,0.0303827,8.3e-06,3.2e-05,1.26e-05,1.36e-05,2.58e-05,1.2e-05,8.2e-06,0.133203,1.91e-05,1.9e-05,0.131567,0,2.19e-05,0.000108,3.7e-06,7.4e-06,8.4e-06,7.1e-06,1.29e-05,1.4e-05,1.83e-05,1.37e-05,1.55e-05,9e-06,5.28e-05,0.0032849,0.607962,6.29e-05,3.68e-05,0.0822982,3.03e-05,3.5e-06,0,2.23e-05,2.75e-05,1.27e-05,0.565125,7.13e-05,1.36e-05,3.1e-06,8.48e-05
"Bifidobacterium_animalis",0,1.8e-06,1.91e-05,0,0,0,7e-07,7.9e-06,0,0,0,0,0.0128323,0,0.0061263,0,0,0.0009477,0,0,0,0,0.0231769,0,0,0,0,2.26e-05,0,0,0,0,0,0,0,0,0,0,0,1.53e-05,0,0,0,0,0,0,0.0320235,0.0003062,0,0.0001176,0,0,0,0,0,3.5e-06,0,3.2e-05,2.6e-06,2.6e-06,0,0,0,0,0.013347,0,0,0,0,0,0,0,0,0.0007892,0.0012961,0,0.0017088,0,0,0.0122777,0,0,0.0015678,0,1.98e-05,0,0,0,0.0003917,9.05e-05,0.0350432,0,0.0009632,0,0,0,0,0,0,0.000173,0,9e-06,0,0,3.3e-06,1.6e-06,6.7e-06,4.4e-06,7.1e-06,5.42e-05,3.71e-05,0,0.0007484,0.00011,9e-07,0.0013832,2.6e-06,1.08e-05,0.0001538,0.0163122,5.2e-06,0,0.0024845,0,0,0,1.38e-05,1.98e-05,4.3e-06,3.6e-06,7.8e-06,2.4e-06,2.7e-06,0,0,0,0,0.281126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141729,0,0,0
"Bifidobacterium_bifidum",0,8e-06,2.99e-05,0,0,0,0,1.19e-05,0,0,0,0,9e-07,1.01e-05,0,0.0103715,0,0,0,0,0,0.0242806,0,0,0,0,0,0,0,0,0,0,0,0.116219,0,0,0,0,0.0403446,0,0,0.0169075,0,0,0,0.0456722,0,0,4.25e-05,0,0,0,0,0.118701,0.0358392,8.4e-06,3.77e-05,0.0642988,0.0278148,1.11e-05,0,0.186299,0,0,0.0174271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824459,0,7.7e-06,0.0056598,0,0,0,0,7.74e-05,0.048032,0.0212619,1.1e-05,0,0,0.0386111,0,0,0,0,0,0,0,0.048762,2.5e-06,0.0359805,0,0,7.3e-06,2.8e-06,9.3e-06,0,1.77e-05,2.3e-06,0.0238806,6.3e-06,0.0251806,0,8.2e-06,0,0,0.0143022,5.4e-06,0,0.0091078,0,0,1.52e-05,7.4e-06,9.3e-06,2.7e-06,1.11e-05,3.8e-06,4e-06,0,0.0817551,0,0,0,0.0111616,0.0484715,0,0,0.0771664,0,0.0224114,0,0,0,0,0,0,0,0,0
"Bifidobacterium_breve",0,0,4.3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001744,0,0,0.0122812,0,0,0,0.0001385,0,0,0,0,0,0,0,0,0,1.35e-05,0,0,0,0,0,0,0,0,0.0058375,0,0,0,0,0,0.0002243,0.0021937,0.131608,0,0,0,0.0103959,1.52e-05,0,0,0,0,0,0,0.0001009,0,0,0,0,0.0529206,0,0,0,0,0,0,0,0,0,0,0.0003268,0,0,9.71e-05,0,0,0,0,0.0516552,2.44e-05,0.0002231,0,0,0,0,0,0,0,0,4.06e-05,0,0,0,0,3.1e-06,1.62e-05,1.45e-05,0,6.7e-06,0,3.7e-06,0.373126,1.1e-05,0,0,0,3.3e-06,0,0,0.0001517,0,0,2.25e-05,0,0.0002361,0,0,0,0,1.7e-06,0,0,4.1e-06,0,0,0.0031041,2.13e-05,0.0006312,0,0,0.0041499,0,1.78e-05,7.3e-06,0,0,0.0033084,0,0,7.1e-06,1.9e-05,0,0,0,0
"Bifidobacterium_catenulatum",0,0,0.0001758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004961,0,0,0,1.1e-05,0,0,0,0,0,0,0,0,0,6.5e-06,0,0,0.0035778,0,0.0004148,0,0,0.0005051,0,0,0,0,0,0,0,0,8.47e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2e-05,0,0,0,0,0,0,0,0,0,0,6.06e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015178,0,0.0082815,0,0,0.0002179,0.0004351,0,0,0,0,0.0012488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012176,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_dentium",0,0,0,0,0,0,0,0,0.0001568,0,0,6.34e-05,0,0,0,0,0,0.0015046,0,0,0,0.0015136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12e-05,0.0017083,0,0,0,0,0,0.0002577,0.0005202,0,0.0142823,0,0.0144247,0,0,0,0,6.75e-05,0,3.62e-05,0,0,0,0,0,0,0,0,0.0007852,0,0,0,0,0,0,2.54e-05,0,0.0461838,9.76e-05,0,0,0,0,0.000823,0,0,0,0,0,0.0010743,0,0,5.9e-06,0,0,0,0,0.0001217,0,0.0364571,0,0.0002656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001436,0,0,0,0,0,7.23e-05,0,0,0,0,0.0091507,0,0,0,0,0.0004742,0,0,0,0.0301864,0.0003437,0.0049626,0,0,0.0056887,0,0.101625,0,0,0
